CustomerID,first_purchase,last_purchase,total_items_bought,total_orders,total_quantity,avg_quantity_per_line,total_spend,avg_order_value,unique_products_bought,weekend_purchase_ratio,is_churned,days_as_customer,recency_days,purchase_frequency_days,recency_frequency_ratio,R_Score,F_Score,M_Score,RFM_Segment,churn_risk_probability,churn_risk_category
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,1,1.0,63.24,63.24,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.9557,High Risk
14906,2010-09-20 16:30:00,2010-09-20 16:30:00,1,1,1,1.0,68.44,68.44,1,0.0,1,1,445,1.0,222.5,1,1,1,Lost / Inactive,0.9557,High Risk
12570,2010-01-26 17:28:00,2010-01-26 17:28:00,1,1,1,1.0,77.52,77.52,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.9531,High Risk
14190,2010-02-11 14:27:00,2010-02-11 14:27:00,1,1,2,2.0,79.9,79.9,1,0.0,1,1,666,1.0,333.0,1,1,1,Lost / Inactive,0.952,High Risk
16165,2010-07-22 14:17:00,2010-07-22 14:17:00,1,1,2,2.0,79.9,79.9,1,0.0,1,1,505,1.0,252.5,1,1,1,Lost / Inactive,0.952,High Risk
13391,2011-05-20 10:50:00,2011-05-20 10:50:00,1,1,4,4.0,59.8,59.8,1,0.0,1,1,204,1.0,102.0,2,1,1,Lost / Inactive,0.9506,High Risk
14380,2010-01-26 17:11:00,2010-01-26 17:11:00,1,1,1,1.0,48.96,48.96,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.9493,High Risk
14086,2010-09-03 10:52:00,2010-09-03 10:52:00,1,1,1,1.0,39.95,39.95,1,0.0,1,1,463,1.0,231.5,1,1,1,Lost / Inactive,0.9493,High Risk
12555,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,1,1.0,129.23,129.23,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.9474,High Risk
16291,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,1,1.0,117.72,117.72,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.9465,High Risk
12636,2009-12-01 09:55:00,2009-12-01 09:55:00,1,1,1,1.0,141.0,141.0,1,0.0,1,1,739,1.0,369.5,1,1,1,Lost / Inactive,0.9465,High Risk
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,1,1.0,56.73,56.73,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.9454,High Risk
16047,2010-01-26 16:34:00,2010-01-26 16:34:00,1,1,1,1.0,107.14,107.14,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.945,High Risk
12846,2010-01-26 16:29:00,2010-01-26 16:29:00,1,1,1,1.0,15.58,15.58,1,0.0,1,1,682,1.0,341.0,1,1,1,Lost / Inactive,0.9405,High Risk
17570,2010-11-23 11:56:00,2010-11-23 11:56:00,1,1,1,1.0,100.0,100.0,1,0.0,1,1,382,1.0,191.0,2,2,1,Lost / Inactive,0.9398,High Risk
14007,2010-07-15 09:06:00,2010-07-15 09:06:00,5,1,16,3.2,79.48,15.896,5,0.0,1,1,513,1.0,256.5,1,1,1,Lost / Inactive,0.9361,High Risk
14580,2010-07-09 15:20:00,2010-07-09 15:20:00,1,1,3,3.0,14.85,14.85,1,0.0,1,1,518,1.0,259.0,1,1,1,Lost / Inactive,0.9339,High Risk
13290,2010-09-27 16:29:00,2010-09-27 16:29:00,1,1,1,1.0,208.63,208.63,1,0.0,1,1,438,1.0,219.0,1,1,1,Lost / Inactive,0.9336,High Risk
15510,2011-01-13 12:10:00,2011-01-13 12:10:00,1,1,2,2.0,250.0,250.0,1,0.0,1,1,331,1.0,165.5,2,1,1,Lost / Inactive,0.9304,High Risk
13011,2010-12-02 17:22:00,2010-12-02 17:22:00,3,1,13,4.333333333333333,50.55,16.849999999999998,3,0.0,1,1,372,1.0,186.0,2,1,1,Lost / Inactive,0.9299,High Risk
